fips,acs_population,median_income,median_gross_rent,housing_units,vacancy_rate,renter_share,unemployment_rate
47167,61553.0,74127.0,1013.0,24417.0,0.07195806200597944,0.23680494263018534,0.055275693087968196
47169,11957.0,72747.0,853.0,3974.0,0.06894816305988928,0.2554054054054054,0.00636465743167353
47171,17756.0,52218.0,750.0,8749.0,0.10904103326094411,0.27107119948685054,0.043366093366093365
47173,20431.0,62727.0,847.0,9831.0,0.19326619875902756,0.1980834699281301,0.026278331325960802
47175,6437.0,54931.0,700.0,2922.0,0.12080766598220397,0.13585052549630205,0.02327272727272727
47177,42166.0,55487.0,827.0,18537.0,0.12591034147920374,0.2755662531629945,0.05895679934091962
47179,136261.0,62809.0,1005.0,62077.0,0.08566779966815406,0.3545340827005409,0.047264885798530124
47181,16168.0,52294.0,619.0,7211.0,0.17043405907641104,0.19826145101972584,0.033908660455170304
47183,33016.0,51880.0,803.0,15056.0,0.11105207226354942,0.3369695158398087,0.04001058131075987
47185,28160.0,52188.0,849.0,12335.0,0.08990676935549251,0.2312488865134509,0.05568576739675099
47187,260351.0,135594.0,1969.0,96921.0,0.04856532639985143,0.21193094324072267,0.02426866648811118
47189,158805.0,95839.0,1486.0,63031.0,0.061747394139391724,0.22983141412604205,0.0322572937325273
48001,58439.0,62068.0,1041.0,20648.0,0.14863425029058505,0.27663689629671767,0.05952274953254385
48003,18610.0,72242.0,1305.0,7153.0,0.043198657905773805,0.2147866744593805,0.03319548451995082
48005,87275.0,60960.0,1076.0,37023.0,0.12835264565270238,0.36010659725450095,0.06387687355396841
48007,24876.0,69466.0,1128.0,15999.0,0.22007625476592288,0.23240903991024203,0.0408997955010225
48009,8867.0,72159.0,770.0,3966.0,0.12556732223903178,0.15542099192618225,0.0303886925795053
48011,1822.0,72750.0,1021.0,886.0,0.1343115124153499,0.1981747066492829,0.012401352874859075
48013,51008.0,70770.0,1061.0,19214.0,0.12636619131883,0.22637912546169428,0.04092671053817723
48015,31170.0,75789.0,1137.0,14319.0,0.15301347859487394,0.23491094986807387,0.04345218260579807
48017,6913.0,61420.0,931.0,2740.0,0.1937956204379562,0.20099592575826167,0.0
48019,22021.0,75813.0,1149.0,11585.0,0.20112214069917997,0.14111291193949216,0.0874306299289261
48021,106582.0,86226.0,1410.0,39706.0,0.07147534377675918,0.23548877074970165,0.042766330125366556
48023,3485.0,45370.0,581.0,2190.0,0.3013698630136986,0.33790849673202616,0.0449438202247191
48025,31083.0,57673.0,1065.0,10650.0,0.17305164319248825,0.2918133303054389,0.05208067398519275
48027,386897.0,68865.0,1224.0,155018.0,0.08200983111638649,0.4348898492674186,0.06767816523227728
48029,2067341.0,72341.0,1354.0,820780.0,0.08509101098954652,0.41150879099367593,0.05784966496946088
48031,12446.0,92425.0,1017.0,6129.0,0.15712187958883994,0.23770809136662796,0.05923694779116466
48033,713.0,65625.0,,368.0,0.33967391304347827,0.3374485596707819,0.0033444816053511705
48035,18687.0,68914.0,928.0,9348.0,0.19811724433033803,0.2417289220917823,0.035808188305997246
48037,92115.0,59803.0,988.0,39948.0,0.12203364373685792,0.3655233370398882,0.04429020821890448
48039,391255.0,97993.0,1454.0,150321.0,0.109252865534423,0.25857742460679023,0.04681939386393584
48041,242311.0,58553.0,1193.0,100826.0,0.09659214885049491,0.5315906770450229,0.047203557789916376
48043,9503.0,56212.0,839.0,5917.0,0.16325840797701538,0.375075742274288,0.03037237362180154
48045,1301.0,45417.0,631.0,849.0,0.3486454652532391,0.1717902350813743,0.010238907849829351
