fips,year,permits
12103,2022,2972
12103,2023,2996
12105,2022,12076
12105,2023,12513
12107,2022,1882
12107,2023,242
12109,2018,5910
12109,2019,4938
12109,2020,5090
12109,2021,8390
12109,2022,8181
12109,2023,6367
12111,2022,6359
12111,2023,5193
12113,2018,1513
12113,2019,1551
12113,2020,2182
12113,2021,2091
12113,2022,1530
12113,2023,1774
12115,2018,5783
12115,2019,5230
12115,2020,4437
12115,2021,7805
12115,2022,7351
12115,2023,7813
12117,2018,2235
12117,2019,2495
12117,2020,2530
12117,2021,3218
12117,2022,3476
12117,2023,2152
12119,2018,2076
12119,2019,2928
12119,2020,3698
12119,2021,4611
12119,2022,4551
12119,2023,3339
12121,2022,206
12121,2023,154
12123,2022,209
12123,2023,57
12125,2022,45
12125,2023,45
12127,2022,5301
12127,2023,4568
12129,2018,222
12129,2019,283
12129,2020,409
12129,2021,485
12129,2022,421
12129,2023,534
12131,2018,1525
12131,2019,2648
12131,2020,1762
12131,2021,2541
12131,2022,2648
12131,2023,2794
12133,2018,43
12133,2019,69
12133,2020,61
12133,2021,90
12133,2022,98
12133,2023,175
13001,2022,7
13001,2023,2
13003,2022,6
13003,2023,18
13005,2022,0
13005,2023,0
13007,2018,0
13007,2019,0
13007,2020,0
13007,2021,0
13007,2022,0
13007,2023,0
13009,2022,124
13009,2023,93
13011,2022,91
13011,2023,103
13013,2018,827
13013,2019,740
13013,2020,940
13013,2021,1124
13013,2022,1040
13013,2023,1092
13015,2018,884
13015,2019,860
13015,2020,864
13015,2021,1135
13015,2022,2405
13015,2023,1609
13017,2022,8
13017,2023,9
13019,2022,45
13019,2023,38
13021,2018,107
13021,2019,132
13021,2020,157
13021,2021,177
13021,2022,156
13021,2023,147
13023,2022,68
13023,2023,110
13025,2022,52
13025,2023,50
13027,2022,37
13027,2023,29
13029,2018,518
13029,2019,564
13029,2020,516
13029,2021,574
13029,2022,470
13029,2023,957
13031,2022,439
13031,2023,832
13033,2018,49
13033,2019,50
13033,2020,52
13033,2021,58
13033,2022,72
13033,2023,59
13035,2018,63
13035,2019,95
13035,2020,170
13035,2021,176
13035,2022,90
13035,2023,76
13037,2022,9
13037,2023,6
13039,2022,445
13039,2023,642
13043,2022,4
13043,2023,1
13045,2018,708
13045,2019,792
13045,2020,792
13045,2021,1251
13045,2022,746
13045,2023,864
13047,2022,283
13047,2023,344
13049,2022,75
13049,2023,81
13051,2018,2067
13051,2019,1356
13051,2020,1634
13051,2021,1896
13051,2022,1993
13051,2023,1686
13053,2022,0
13053,2023,0
13055,2022,2
13055,2023,1
13057,2018,3570
13057,2019,2443
13057,2020,2394
13057,2021,2754
13057,2022,3021
13057,2023,2226
13059,2018,606
13059,2019,1283
13059,2020,635
13059,2021,1166
13059,2022,1775
13059,2023,406
13061,2022,5
13061,2023,6
13063,2018,502
13063,2019,905
13063,2020,954
13063,2021,929
13063,2022,373
13063,2023,337
13065,2022,8
13065,2023,0
13067,2018,2783
13067,2019,3567
13067,2020,2494
13067,2021,2953
13067,2022,2873
13067,2023,2956
13069,2022,46
13069,2023,50
13071,2022,110
13071,2023,114
13073,2018,1273
13073,2019,1548
13073,2020,1402
13073,2021,1548
13073,2022,1240
13073,2023,1157
13075,2022,125
13075,2023,81
13077,2018,1261
13077,2019,1344
13077,2020,1014
13077,2021,1716
13077,2022,717
13077,2023,958
13079,2022,46
13079,2023,46
13081,2022,37
13081,2023,19
13083,2022,6
13083,2023,4
13085,2018,446
13085,2019,423
13085,2020,430
13085,2021,581
13085,2022,553
13085,2023,485
13087,2022,110
13087,2023,127
13089,2022,2409
13089,2023,2299
13091,2022,3
13091,2023,13
13093,2022,0
13093,2023,0
13095,2018,53
13095,2019,238
13095,2020,165
13095,2021,211
13095,2022,56
13095,2023,37
13097,2018,399
13097,2019,449
13097,2020,747
13097,2021,1639
13097,2022,665
13097,2023,1024
13099,2022,11
13099,2023,10
13101,2022,4
13101,2023,3
13103,2022,662
13103,2023,765
13105,2022,96
13105,2023,69
13107,2022,26
13107,2023,29
13109,2022,21
13109,2023,24
13111,2018,293
13111,2019,292
13111,2020,382
13111,2021,447
13111,2022,459
13111,2023,406
13113,2018,539
13113,2019,518
13113,2020,564
13113,2021,762
13113,2022,602
13113,2023,354
13115,2018,210
13115,2019,263
13115,2020,282
13115,2021,204
13115,2022,310
13115,2023,327
13117,2018,3650
13117,2019,1851
13117,2020,2485
13117,2021,2359
13117,2022,2601
13117,2023,1371
13119,2022,173
13119,2023,148
13121,2018,10026
13121,2019,6390
13121,2020,4274
13121,2021,5191
13121,2022,14625
13121,2023,10027
13123,2022,441
13123,2023,374
13127,2018,568
13127,2019,378
13127,2020,439
13127,2021,576
13127,2022,1349
13127,2023,618
13129,2022,632
13129,2023,389
13131,2022,49
13131,2023,48
13133,2022,346
13133,2023,277
13135,2018,3702
13135,2019,4165
13135,2020,4539
13135,2021,4754
13135,2022,5359
13135,2023,5423
13137,2022,349
13137,2023,231
13139,2022,2067
13139,2023,1326
13141,2022,28
13141,2023,26
13143,2018,56
13143,2019,55
13143,2020,52
13143,2021,88
13143,2022,536
13143,2023,302
13145,2018,225
13145,2019,224
13145,2020,237
13145,2021,242
13145,2022,231
13145,2023,187
13147,2022,181
13147,2023,207
13149,2018,18
13149,2019,26
13149,2020,32
13149,2021,34
13149,2022,37
13149,2023,43
13151,2018,1905
13151,2019,1816
13151,2020,1867
13151,2021,2761
13151,2022,2522
13151,2023,2131
13153,2022,2352
13153,2023,1696
13155,2022,34
13155,2023,33
13157,2022,2056
13157,2023,2043
13159,2018,72
13159,2019,74
13159,2020,107
13159,2021,116
13159,2022,217
13159,2023,183
13161,2022,2
13161,2023,4
13163,2022,4
13163,2023,4
13165,2022,73
13165,2023,39
13167,2022,3
13167,2023,1
13169,2022,115
13169,2023,98
13171,2018,64
13171,2019,107
13171,2020,127
13171,2021,184
13171,2022,143
13171,2023,132
13173,2022,34
13173,2023,42
13175,2022,25
13175,2023,32
13177,2018,95
13177,2019,125
13177,2020,172
13177,2021,164
13177,2022,115
13177,2023,115
13179,2018,261
13179,2019,754
13179,2020,421
13179,2021,488
13179,2022,543
13179,2023,426
13181,2022,83
13181,2023,68
13183,2022,301
13183,2023,285
13185,2022,1338
13185,2023,839
13187,2022,264
13187,2023,242
13189,2018,33
13189,2019,35
13189,2020,53
13189,2021,54
13189,2022,67
13189,2023,71
13191,2022,166
13191,2023,117
13193,2022,14
13193,2023,13
13195,2022,176
13195,2023,179
13197,2022,16
13197,2023,15
13199,2018,57
13199,2019,86
13199,2020,79
13199,2021,115
13199,2022,375
13199,2023,257
13201,2018,2
13201,2019,9
13201,2020,6
13201,2021,1
13201,2022,4
13201,2023,7
13205,2022,12
13205,2023,16
13207,2018,131
13207,2019,158
13207,2020,203
13207,2021,230
13207,2022,297
13207,2023,263
13209,2022,24
13209,2023,22
13211,2022,160
13211,2023,167
13213,2022,70
13213,2023,109
13215,2018,495
13215,2019,681
13215,2020,1342
13215,2021,675
13215,2022,1054
13215,2023,266
13217,2018,653
13217,2019,619
13217,2020,857
13217,2021,1148
13217,2022,666
13217,2023,775
13219,2022,351
13219,2023,313
13221,2022,68
13221,2023,122
13223,2022,1534
13223,2023,1383
13225,2022,143
13225,2023,149
13227,2018,131
13227,2019,164
13227,2020,232
13227,2021,341
13227,2022,421
13227,2023,385
13229,2022,58
13229,2023,110
13231,2018,89
13231,2019,120
13231,2020,139
13231,2021,171
13231,2022,154
13231,2023,107
13233,2022,168
13233,2023,86
13235,2018,12
13235,2019,14
13235,2020,23
13235,2021,44
13235,2022,43
13235,2023,46
13237,2022,172
13237,2023,156
13239,2022,4
13239,2023,7
13241,2022,166
13241,2023,172
13243,2022,12
13243,2023,4
13245,2018,521
13245,2019,429
13245,2020,644
13245,2021,689
13245,2022,772
13245,2023,485
13247,2018,304
13247,2019,275
13247,2020,269
13247,2021,218
13247,2022,1024
13247,2023,385
13249,2022,21
13249,2023,19
13251,2022,23
13251,2023,21
13253,2022,22
13253,2023,3
13255,2018,274
13255,2019,417
13255,2020,257
13255,2021,623
13255,2022,524
13255,2023,343
13257,2022,24
13257,2023,24
13259,2022,5
13259,2023,9
13261,2022,25
13261,2023,74
13263,2022,3
13263,2023,1
13267,2022,43
13267,2023,43
13269,2022,19
13269,2023,25
13271,2022,1
13271,2023,0
13273,2022,5
13273,2023,3
13275,2018,97
13275,2019,94
