fips,year,rent,rent_months,log_rent,d_log_rent,gross_inflow,gross_outflow,nonmigrant_exemptions,net_migration,irs_population_base,population_lag,net_mig_share,gross_inflow_share
01127,2023,1095.7470927846332,6,6.9991916861214385,,2233.0,1870.0,44364.0,363.0,46234.0,46234.0,0.00785136479647013,0.04829778950555868
01127,2024,1146.00308025525,12,7.044035585102879,0.04484389898144059,,,,,,,,
01127,2025,1155.6792889996689,12,7.052443579079854,0.00840799397697456,,,,,,,,
01127,2026,1150.1081420862001,4,7.047611253532828,-0.004832325547025285,,,,,,,,
02020,2015,1230.3047814937715,12,7.115017207503968,,,,,,,,,
02020,2016,1215.6746732410909,12,7.103054488278266,-0.01196271922570169,,,,,,,,
02020,2017,1198.8379540853161,12,7.0891079950058336,-0.01394649327243247,,,,,,,,
02020,2018,1207.7812317014964,12,7.0965402625093965,0.0074322675035629615,,,,,,,,
02020,2019,1222.7053572054017,12,7.108821188595851,0.012280926086454258,,,,,,,,
02020,2020,1249.2254720812637,12,7.130279015916105,0.02145782732025392,14588.0,19635.0,226923.0,-5047.0,246558.0,246558.0,-0.0204698286001671,0.05916660582905442
02020,2021,1315.1530470639755,12,7.181708323439568,0.05142930752346331,14202.0,18462.0,213572.0,-4260.0,232034.0,232034.0,-0.018359378366963462,0.06120654731634157
02020,2022,1444.4436441856158,12,7.275479505081958,0.09377118164239029,14317.0,17542.0,216349.0,-3225.0,233891.0,233891.0,-0.013788474118285867,0.06121227409348799
02020,2023,1547.1760395248248,12,7.344186638232699,0.06870713315074095,13578.0,16009.0,220043.0,-2431.0,236052.0,236052.0,-0.010298578279362175,0.057521224137054544
02020,2024,1615.8198846880284,12,7.387597775374161,0.04341113714146161,,,,,,,,
02020,2025,1683.5323371290233,12,7.428649446690501,0.0410516713163398,,,,,,,,
02020,2026,1716.3833731509533,4,7.447974666022532,0.01932521933203102,,,,,,,,
02090,2021,1390.3032294466973,7,7.237277153014415,,7289.0,8185.0,67302.0,-896.0,75487.0,75487.0,-0.011869593439930054,0.09655967252639527
02090,2022,1486.5258129262327,12,7.3041970071889875,0.06691985417457236,6957.0,8315.0,68704.0,-1358.0,77019.0,77019.0,-0.017632012879938718,0.0903283605344136
02090,2023,1562.7683296071407,12,7.354214097815055,0.05001709062606796,6435.0,7885.0,70888.0,-1450.0,78773.0,78773.0,-0.01840732230586622,0.08169042692293045
02090,2024,1613.9663269167522,12,7.386449985487567,0.03223588767251151,,,,,,,,
02090,2025,1665.3786804276954,12,7.417807812247277,0.03135782675971033,,,,,,,,
02090,2026,1709.6009739373474,4,7.44401527369204,0.026207461444762714,,,,,,,,
02110,2026,2128.96262503898,2,7.663390109567465,,,,,,,,,
02122,2025,1533.3073291763087,12,7.335182334432425,,,,,,,,,
02122,2026,1565.0603667983441,4,7.355679675264419,0.020497340831993505,,,,,,,,
02170,2023,1512.7040508402813,12,7.321654090451975,,6049.0,5090.0,87537.0,959.0,92627.0,92627.0,0.010353352694138857,0.06530493268701351
02170,2024,1611.343029380646,12,7.3848232899834905,0.06316919953151512,,,,,,,,
02170,2025,1679.9546180532868,12,7.426522058968925,0.041698768985434675,,,,,,,,
02170,2026,1695.5207271905315,4,7.4357451863158195,0.009223127346894344,,,,,,,,
04003,2021,1080.3165959267003,1,6.9850094215364225,,8425.0,7355.0,89684.0,1070.0,97039.0,97039.0,0.011026494502210452,0.08682076278609631
04003,2022,1086.9623600219438,12,6.991142259126952,0.006132837590529405,7821.0,7623.0,91769.0,198.0,99392.0,99392.0,0.00199211204121056,0.07868842562781712
04003,2023,1153.2094991551191,12,7.050304202944265,0.05916194381731277,7066.0,6777.0,93351.0,289.0,100128.0,100128.0,0.002886305528922979,0.07056967082134867
